
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.06028509e+00, -4.87411356e+00, 4.99999970e-02, -4.42732051e-02, 1.13715839e+00, 6.63969084e-04
3.95623183e+00, -5.00000000e+00, 4.99999970e-02, -4.47940528e-02, 1.13752508e+00, -4.06575815e-20
3.88783503e+00, -4.78074074e+00, 4.99999970e-02, -4.52714711e-02, 1.13814902e+00, 8.93358549e-04
3.75720620e+00, -5.00000000e+00, 4.99999970e-02, -4.57055792e-02, 1.13832760e+00, -4.06575815e-20
3.67005396e+00, -4.79494905e+00, 4.99999970e-02, -4.62497249e-02, 1.13892317e+00, 6.14403107e-04
3.55818081e+00, -5.00000000e+00, 4.99999970e-02, -4.64235805e-02, 1.13891101e+00, -2.03287907e-20
3.45442247e+00, -4.78373718e+00, 4.99999970e-02, -4.68885526e-02, 1.13947904e+00, 3.89636029e-04
3.35915542e+00, -5.00000000e+00, 4.99999970e-02, -4.69207689e-02, 1.13930440e+00, -8.47032947e-21
-4.81437969e+00, -4.83388615e+00, 4.99999970e-02, 1.00392893e-01, 1.00016522e+00, -1.91687621e-04
-5.00000000e+00, -5.00000000e+00, 4.99999970e-02, 1.00400075e-01, 1.00009453e+00, 4.46113957e-15
-4.80088902e+00, -5.00000000e+00, 4.99999970e-02, 1.00292727e-01, 1.00015712e+00, 2.23056979e-15
3.25186658e+00, -4.76740170e+00, 4.99999970e-02, -4.73150983e-02, 1.13981128e+00, 1.29061140e-04
3.16012979e+00, -5.00000000e+00, 4.99999970e-02, -4.70533594e-02, 1.13942027e+00, 5.08219768e-21
3.11716628e+00, -4.80585051e+00, 4.99999970e-02, -4.72319759e-02, 1.13958895e+00, -5.59011714e-05
2.96110439e+00, -5.00000000e+00, 4.99999970e-02, -4.68601920e-02, 1.13923693e+00, 6.77626358e-21
2.83102274e+00, -4.78656816e+00, 4.99999970e-02, -4.68907431e-02, 1.13938367e+00, -5.18060115e-04
2.76207900e+00, -5.00000000e+00, 4.99999970e-02, -4.63802442e-02, 1.13876009e+00, 2.71050543e-20
2.66890407e+00, -4.80068731e+00, 4.99999970e-02, -4.62612100e-02, 1.13876450e+00, -7.95903150e-04
2.56305337e+00, -5.00000000e+00, 4.99999970e-02, -4.54891957e-02, 1.13795733e+00, 5.42101086e-20
2.48601270e+00, -4.81793547e+00, 4.99999970e-02, -4.52162810e-02, 1.13780129e+00, -1.05651666e-03
2.36402798e+00, -5.00000000e+00, 4.99999970e-02, -4.41922992e-02, 1.13680196e+00, 2.71050543e-20
2.29452586e+00, -4.82683372e+00, 4.99999970e-02, -4.37664725e-02, 1.13648403e+00, -1.36180269e-03
2.16500258e+00, -5.00000000e+00, 4.99999970e-02, -4.24695238e-02, 1.13526785e+00, 0.00000000e+00
2.09252262e+00, -4.82536697e+00, 4.99999970e-02, -4.18743454e-02, 1.13477814e+00, -1.76306162e-03
1.96597707e+00, -5.00000000e+00, 4.99999970e-02, -4.02913764e-02, 1.13333702e+00, 5.42101086e-20
1.88202775e+00, -4.80657530e+00, 4.99999970e-02, -3.93486731e-02, 1.13256288e+00, -2.18153768e-03
1.76695156e+00, -5.00000000e+00, 4.99999970e-02, -3.76233757e-02, 1.13097382e+00, 5.42101086e-20
1.67472076e+00, -4.83088636e+00, 4.99999970e-02, -3.63227278e-02, 1.12986767e+00, -2.43295450e-03
1.56792617e+00, -5.00000000e+00, 4.99999970e-02, -3.44558544e-02, 1.12815368e+00, 5.42101086e-20
1.47371638e+00, -4.83129597e+00, 4.99999970e-02, -3.30320708e-02, 1.12677467e+00, -2.91246083e-03
1.36890066e+00, -5.00000000e+00, 4.99999970e-02, -3.07535268e-02, 1.12489974e+00, 5.42101086e-20
1.26283741e+00, -4.80657530e+00, 4.99999970e-02, -2.86171660e-02, 1.12306535e+00, -3.49329598e-03
1.16987526e+00, -5.00000000e+00, 4.99999970e-02, -2.67042127e-02, 1.12117505e+00, 0.00000000e+00
1.07416701e+00, -4.83670330e+00, 4.99999970e-02, -2.47487798e-02, 1.11943948e+00, -3.21201747e-03
9.70849752e-01, -5.00000000e+00, 4.99999970e-02, -2.22780108e-02, 1.11706591e+00, 1.08420217e-19
8.86900425e-01, -4.80657530e+00, 4.99999970e-02, -2.06173677e-02, 1.11567271e+00, -4.20059124e-03
7.71824300e-01, -5.00000000e+00, 4.99999970e-02, -1.74085889e-02, 1.11263752e+00, 1.08420217e-19
6.87874973e-01, -4.80657530e+00, 4.99999970e-02, -1.53032020e-02, 1.11090183e+00, -4.61959559e-03
5.72798789e-01, -5.00000000e+00, 4.99999970e-02, -1.20397685e-02, 1.10782552e+00, -1.08420217e-19
4.77462381e-01, -4.79604340e+00, 4.99999970e-02, -9.20642074e-03, 1.10536957e+00, -5.22504840e-03
3.73773336e-01, -5.00000000e+00, 4.99999970e-02, -6.43367739e-03, 1.10281432e+00, 0.00000000e+00
