x,y,u,v,p
-5.0,-5.0,1.0044724941253662,-0.0006449031643569468,-0.1113610863685608
-4.94268,-5.0,1.0043716430664062,-0.0006717494688928128,-0.11106790602207184
-4.8853599999999995,-5.0,1.004272222518921,-0.0006994986906647682,-0.11077164113521576
-4.8280400000000006,-5.0,1.0041744709014893,-0.0007284563034772872,-0.1104721873998642
-4.77072,-5.0,1.0040786266326904,-0.0007582926191389562,-0.11016960442066193
-4.7134,-5.0,1.0039839744567869,-0.0007890076376497747,-0.10986347496509552
-4.65608,-5.0,1.003891110420227,-0.0008207713253796102,-0.10955385863780977
-4.5987599999999995,-5.0,1.0037999153137207,-0.0008533615618944168,-0.1092405766248703
-4.541440000000001,-5.0,1.0037105083465576,-0.0008865753188729287,-0.10892319679260254
-4.48412,-5.0,1.00362229347229,-0.0009207413531839848,-0.10860221087932588
-4.4268,-5.0,1.0035362243652344,-0.0009556254372000693,-0.10827690362930298
-4.36948,-5.0,1.0034513473510742,-0.0009912601672112944,-0.1079474538564682
-4.3121599999999995,-5.0,1.0033681392669678,-0.0010275449603796003,-0.10761335492134094
-4.25484,-5.0,1.003286361694336,-0.0010644248686730864,-0.10727475583553314
-4.19752,-5.0,1.0032062530517578,-0.001101967878639698,-0.1069316864013672
-4.1402,-5.0,1.0031278133392334,-0.0011400161311030386,-0.10658349096775056
-4.08288,-5.0,1.0030505657196045,-0.00117856590077281,-0.106230229139328
-4.02556,-5.0,1.0029752254486084,-0.0012175641022622585,-0.10587204992771147
-3.96824,-5.0,1.0029008388519287,-0.0012571210972964766,-0.1055084615945816
-3.9109199999999995,-5.0,1.0028281211853027,-0.0012969151139259338,-0.1051393896341324
-3.8536,-5.0,1.0027565956115725,-0.0013371617533266544,-0.10476471483707428
-3.7962800000000003,-5.0,1.0026867389678955,-0.0013776258565485475,-0.10438428819179536
-3.73896,-5.0,1.0026180744171145,-0.0014184555038809776,-0.10399802029132844
-3.6816400000000002,-5.0,1.0025509595870972,-0.0014595347456634045,-0.10360583662986757
-3.6243199999999995,-5.0,1.0024850368499756,-0.001500742044299841,-0.10320734977722168
-3.5669999999999997,-5.0,1.002420425415039,-0.0015422869473695755,-0.1028025448322296
-3.5096800000000004,-5.0,1.0023568868637085,-0.0015839133411645891,-0.10239158570766448
-3.45236,-5.0,1.0022947788238523,-0.0016256952658295634,-0.1019739955663681
-3.3950400000000003,-5.0,1.002233624458313,-0.0016673505306243894,-0.1015499085187912
-3.3377199999999996,-5.0,1.0021736621856692,-0.0017092982307076454,-0.10111898183822632
-3.2804,-5.0,1.00211501121521,-0.0017512701451778412,-0.10068145394325256
-3.22308,-5.0,1.0020571947097778,-0.0017932290211319926,-0.10023695230484007
-3.16576,-5.0,1.00200092792511,-0.0018352349288761614,-0.0997856706380844
-3.1084400000000003,-5.0,1.0019451379775999,-0.0018771691247820852,-0.0993274748325348
-3.05112,-5.0,1.0018908977508545,-0.0019191084429621694,-0.098861962556839
-2.9938,-5.0,1.0018374919891355,-0.0019609467126429077,-0.09838956594467163
-2.93648,-5.0,1.0017850399017334,-0.002002823632210493,-0.0979103296995163
-2.87916,-5.0,1.0017337799072266,-0.002044479362666607,-0.0974237024784088
-2.8218400000000003,-5.0,1.0016833543777466,-0.002086328342556953,-0.09693002700805664
-2.76452,-5.0,1.0016336441040041,-0.0021279715001583104,-0.09642945230007173
-2.7072,-5.0,1.0015854835510254,-0.0021696477197110653,-0.09592194855213164
-2.64988,-5.0,1.0015377998352049,-0.002211282029747963,-0.09540727734565736
-2.59256,-5.0,1.0014914274215698,-0.0022527836263179783,-0.09488587081432344
-2.53524,-5.0,1.0014461278915403,-0.00229446217417717,-0.0943576991558075
-2.47792,-5.0,1.0014016628265379,-0.002335995901376009,-0.09382274746894836
-2.4206,-5.0,1.0013583898544312,-0.002377561759203673,-0.09328120946884157
-2.36328,-5.0,1.0013160705566406,-0.0024191918782889843,-0.0927332639694214
