
[Name]
cyld2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
2.79424000e+00, 4.55700338e-01, 9.99999940e-02, -1.04835257e-01
2.79424000e+00, 4.55700338e-01, -9.99999940e-02, -1.04835257e-01
2.77179217e+00, 4.44883317e-01, 9.99999940e-02, -9.31921899e-02
2.77179217e+00, 4.44883317e-01, -9.99999940e-02, -9.31921899e-02
2.74991727e+00, 4.32964981e-01, 9.99999940e-02, -8.24208856e-02
2.74991727e+00, 4.32964981e-01, -9.99999940e-02, -8.24208856e-02
2.72862577e+00, 4.19947624e-01, 9.99999940e-02, -7.26689100e-02
2.72862577e+00, 4.19947624e-01, -9.99999940e-02, -7.26689100e-02
2.70798445e+00, 4.05865669e-01, 9.99999940e-02, -6.40449896e-02
2.70798445e+00, 4.05865669e-01, -9.99999940e-02, -6.40449896e-02
2.68810964e+00, 3.90799731e-01, 9.99999940e-02, -5.66386953e-02
2.68810964e+00, 3.90799731e-01, -9.99999940e-02, -5.66386953e-02
2.66903687e+00, 3.74784499e-01, 9.99999940e-02, -5.05151972e-02
2.66903687e+00, 3.74784499e-01, -9.99999940e-02, -5.05151972e-02
2.65078521e+00, 3.57839435e-01, 9.99999940e-02, -4.56909500e-02
2.65078521e+00, 3.57839435e-01, -9.99999940e-02, -4.56909500e-02
2.63339996e+00, 3.40006590e-01, 9.99999940e-02, -4.21366468e-02
2.63339996e+00, 3.40006590e-01, -9.99999940e-02, -4.21366468e-02
2.61692429e+00, 3.21330100e-01, 9.99999940e-02, -3.97659354e-02
2.61692429e+00, 3.21330100e-01, -9.99999940e-02, -3.97659354e-02
2.60139513e+00, 3.01851332e-01, 9.99999940e-02, -3.85038778e-02
2.60139513e+00, 3.01851332e-01, -9.99999940e-02, -3.85038778e-02
2.58680940e+00, 2.81555653e-01, 9.99999940e-02, -3.83577198e-02
2.58680940e+00, 2.81555653e-01, -9.99999940e-02, -3.83577198e-02
2.57327247e+00, 2.60583222e-01, 9.99999940e-02, -3.92078012e-02
2.57327247e+00, 2.60583222e-01, -9.99999940e-02, -3.92078012e-02
2.56081486e+00, 2.38990217e-01, 9.99999940e-02, -4.07734364e-02
2.56081486e+00, 2.38990217e-01, -9.99999940e-02, -4.07734364e-02
2.54945922e+00, 2.16824740e-01, 9.99999940e-02, -4.28609848e-02
2.54945922e+00, 2.16824740e-01, -9.99999940e-02, -4.28609848e-02
2.53920794e+00, 1.94089428e-01, 9.99999940e-02, -4.53371592e-02
2.53920794e+00, 1.94089428e-01, -9.99999940e-02, -4.53371592e-02
2.53010917e+00, 1.70887455e-01, 9.99999940e-02, -4.80334014e-02
2.53010917e+00, 1.70887455e-01, -9.99999940e-02, -4.80334014e-02
2.52218032e+00, 1.47269860e-01, 9.99999940e-02, -5.07799275e-02
2.52218032e+00, 1.47269860e-01, -9.99999940e-02, -5.07799275e-02
2.51543999e+00, 1.23294398e-01, 9.99999940e-02, -5.34172617e-02
2.51543999e+00, 1.23294398e-01, -9.99999940e-02, -5.34172617e-02
2.50989509e+00, 9.89805982e-02, 9.99999940e-02, -5.57861179e-02
2.50989509e+00, 9.89805982e-02, -9.99999940e-02, -5.57861179e-02
2.50556922e+00, 7.44193718e-02, 9.99999940e-02, -5.77585064e-02
2.50556922e+00, 7.44193718e-02, -9.99999940e-02, -5.77585064e-02
2.50246930e+00, 4.96318042e-02, 9.99999940e-02, -5.92628345e-02
2.50246930e+00, 4.96318042e-02, -9.99999940e-02, -5.92628345e-02
2.50061369e+00, 2.47670002e-02, 9.99999940e-02, -6.02301881e-02
2.50061369e+00, 2.47670002e-02, -9.99999940e-02, -6.02301881e-02
2.50000000e+00, -1.31573513e-04, 9.99999940e-02, -6.05776161e-02
2.50000000e+00, -1.31573513e-04, -9.99999940e-02, -6.05776161e-02
2.50062680e+00, -2.50298455e-02, 9.99999940e-02, -6.02985844e-02
2.50062680e+00, -2.50298455e-02, -9.99999940e-02, -6.02985844e-02
2.50249577e+00, -4.98942770e-02, 9.99999940e-02, -5.94183952e-02
2.50249577e+00, -4.98942770e-02, -9.99999940e-02, -5.94183952e-02
2.50560856e+00, -7.46802539e-02, 9.99999940e-02, -5.79762012e-02
2.50560856e+00, -7.46802539e-02, -9.99999940e-02, -5.79762012e-02
2.50994730e+00, -9.92386341e-02, 9.99999940e-02, -5.60506880e-02
2.50994730e+00, -9.92386341e-02, -9.99999940e-02, -5.60506880e-02
2.51550484e+00, -1.23549148e-01, 9.99999940e-02, -5.37313074e-02
2.51550484e+00, -1.23549148e-01, -9.99999940e-02, -5.37313074e-02
2.52225780e+00, -1.47521079e-01, 9.99999940e-02, -5.11474088e-02
2.52225780e+00, -1.47521079e-01, -9.99999940e-02, -5.11474088e-02
2.53019905e+00, -1.71134651e-01, 9.99999940e-02, -4.84478921e-02
