x,y,u,v,p
-10.0,-10.0,1.000676155090332,-0.0012450872454792,-0.0110696237534284
-9.88,-10.0,1.000458598136902,-0.001245382009074,-0.0110284946858882
-9.76,-10.0,1.0002634525299072,-0.0012464022729545,-0.0109856538474559
-9.64,-10.0,1.00009024143219,-0.0012478849384933,-0.01094108261168
-9.52,-10.0,0.999939501285553,-0.0012503170873969,-0.0108945649117231
-9.4,-10.0,0.999810516834259,-0.0012532661203294,-0.0108462926000356
-9.28,-10.0,0.9997034668922424,-0.0012569816317409,-0.0107960663735866
-9.16,-10.0,0.9996174573898317,-0.0012612987775355,-0.0107438936829566
-9.04,-10.0,0.9995521306991576,-0.0012663782108575,-0.0106899514794349
-8.92,-10.0,0.9995073080062866,-0.0012721319217234,-0.0106337815523147
-8.8,-10.0,0.9994807839393616,-0.0012787247542291,-0.0105756353586912
-8.68,-10.0,0.9994727373123168,-0.0012859420385211,-0.0105155445635318
-8.56,-10.0,0.9994812607765198,-0.0012939411681145,-0.0104532856494188
-8.44,-10.0,0.9995059967041016,-0.0013026178348809,-0.0103891342878341
-8.32,-10.0,0.99954491853714,-0.0013121000956743,-0.0103228408843278
-8.2,-10.0,0.9995967745780944,-0.0013222850393503,-0.010254506021738
-8.08,-10.0,0.999659776687622,-0.0013331754598766,-0.0101841408759355
-7.96,-10.0,0.9997326731681824,-0.0013448356185108,-0.0101117938756942
-7.84,-10.0,0.9998135566711426,-0.0013572832103818,-0.0100373458117246
-7.720000000000001,-10.0,0.9999008774757384,-0.0013703058939427,-0.0099609978497028
-7.6,-10.0,0.9999932050704956,-0.0013841015752404,-0.009882727637887
-7.48,-10.0,1.0000879764556885,-0.0013985934201627,-0.0098025184124708
-7.36,-10.0,1.000184178352356,-0.0014138447586447,-0.0097204465419054
-7.24,-10.0,1.0002799034118652,-0.0014297782909125,-0.0096365679055452
-7.12,-10.0,1.000373363494873,-0.0014463912229984,-0.0095508750528097
-7.0,-10.0,1.000463843345642,-0.0014636556152254,-0.0094635523855686
-6.88,-10.0,1.00054931640625,-0.0014817265328019,-0.009374413639307
-6.76,-10.0,1.0006284713745115,-0.0015003366861492,-0.0092837680131196
-6.640000000000001,-10.0,1.0007002353668213,-0.0015196639578789,-0.0091915111988782
-6.52,-10.0,1.000763773918152,-0.0015396622475236,-0.0090978723019361
-6.4,-10.0,1.0008177757263184,-0.0015602933708578,-0.0090026501566171
-6.28,-10.0,1.0008621215820312,-0.0015815019141882,-0.008906178176403
-6.16,-10.0,1.000895619392395,-0.0016036068554967,-0.0088081583380699
-6.04,-10.0,1.000918745994568,-0.0016261611599475,-0.0087090842425823
-5.92,-10.0,1.0009304285049438,-0.0016494037117809,-0.0086087919771671
-5.8,-10.0,1.0009310245513916,-0.0016733033116906,-0.0085072573274374
-5.68,-10.0,1.0009205341339111,-0.001697831088677,-0.0084047298878431
-5.5600000000000005,-10.0,1.0008991956710815,-0.0017229325603693,-0.0083010736852884
-5.44,-10.0,1.000867486000061,-0.0017487921286374,-0.0081966035068035
-5.32,-10.0,1.0008255243301392,-0.0017752547282725,-0.0080910250544548
-5.2,-10.0,1.0007736682891846,-0.0018023245502263,-0.0079847089946269
-5.08,-10.0,1.000713348388672,-0.0018300812225788,-0.007877517491579
-4.96,-10.0,1.000644564628601,-0.0018585457000881,-0.0077695380896329
-4.84,-10.0,1.0005686283111572,-0.0018876262474805,-0.0076609253883361
-4.720000000000001,-10.0,1.000486135482788,-0.0019173088949173,-0.0075516439974308
-4.6000000000000005,-10.0,1.000397801399231,-0.0019478432368487,-0.0074416566640138
-4.48,-10.0,1.0003046989440918,-0.0019789340440183,-0.0073313228785991
-4.36,-10.0,1.0002076625823977,-0.0020107438322156,-0.0072205550968647
-4.24,-10.0,1.0001075267791748,-0.0020432930905371,-0.0071092480793595
-4.12,-10.0,1.000005125999451,-0.0020765659864991,-0.0069977240636944
-4.0,-10.0,0.9999015927314758,-0.0021105140913277,-0.0068859606981277
-3.88,-10.0,0.9997971057891846,-0.0021452156361192,-0.0067740641534328
-3.76,-10.0,0.9996932148933412,-0.0021805975120514,-0.0066620735451579
-3.640000000000001,-10.0,0.9995899200439452,-0.0022166932467371,-0.0065501648932695
-3.5200000000000005,-10.0,0.9994879364967346,-0.0022534306626766,-0.0064384182915091
-3.4000000000000004,-10.0,0.9993883371353148,-0.0022909760009497,-0.0063267853111028
-3.28,-10.0,0.9992915391921996,-0.0023291122633963,-0.0062156058847904
-3.16,-10.0,0.9991976022720336,-0.0023679214064031,-0.0061047133058309
-3.04,-10.0,0.9991075992584229,-0.0024071719963103,-0.0059944931417703
-2.92,-10.0,0.9990214109420776,-0.0024471005890518,-0.0058848913758993
-2.8000000000000007,-10.0,0.99893981218338,-0.0024873993825167,-0.005776067264378
-2.6800000000000006,-10.0,0.9988628625869752,-0.0025280232075601,-0.0056681800633668
-2.5600000000000005,-10.0,0.9987905025482178,-0.0025689175818115,-0.0055612446740269
-2.4400000000000004,-10.0,0.9987232685089112,-0.0026099092792719,-0.0054555172100663
-2.3200000000000003,-10.0,0.9986611604690552,-0.0026508767623454,-0.0053509678691625
-2.2,-10.0,0.998604416847229,-0.0026916076894849,-0.0052476767450571
-2.08,-10.0,0.9985529780387878,-0.00273172208108,-0.0051459614187479
-1.9600000000000009,-10.0,0.998507022857666,-0.002771285129711,-0.0050459327176213
-1.84,-10.0,0.9984668493270874,-0.0028098991606384,-0.0049474481493234
-1.7200000000000006,-10.0,0.99843168258667,-0.0028473765123635,-0.0048507675528526
