
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.06028509e+00, -4.87411356e+00, 4.99999970e-02, -4.29559126e-02, 1.03497756e+00, 1.05884462e-03
3.95623183e+00, -5.00000000e+00, 4.99999970e-02, -4.32582386e-02, 1.00000000e+00, 0.00000000e+00
3.88783503e+00, -4.78074074e+00, 4.99999970e-02, -4.35694754e-02, 1.05531764e+00, 1.88963779e-03
3.75720620e+00, -5.00000000e+00, 4.99999970e-02, -4.39550392e-02, 1.00000000e+00, 0.00000000e+00
3.67005396e+00, -4.79494905e+00, 4.99999970e-02, -4.42435928e-02, 1.05533421e+00, 1.74134190e-03
3.55818081e+00, -5.00000000e+00, 4.99999970e-02, -4.44105566e-02, 1.00000000e+00, 0.00000000e+00
3.45442247e+00, -4.78373718e+00, 4.99999970e-02, -4.45832796e-02, 1.05908477e+00, 1.73239352e-03
3.35915542e+00, -5.00000000e+00, 4.99999970e-02, -4.43944708e-02, 1.00000000e+00, 0.00000000e+00
-4.81437969e+00, -4.83388615e+00, 4.99999970e-02, 1.14767268e-01, 1.00010979e+00, -1.33766196e-04
-5.00000000e+00, -5.00000000e+00, 4.99999970e-02, 1.14776097e-01, 1.00000000e+00, 0.00000000e+00
-4.80088902e+00, -5.00000000e+00, 4.99999970e-02, 1.14700958e-01, 1.00000000e+00, 0.00000000e+00
3.25186658e+00, -4.76740170e+00, 4.99999970e-02, -4.47118618e-02, 1.06529546e+00, 1.74813357e-03
3.16012979e+00, -5.00000000e+00, 4.99999970e-02, -4.45564277e-02, 1.00000000e+00, 0.00000000e+00
3.11716628e+00, -4.80585051e+00, 4.99999970e-02, -4.43958603e-02, 1.05120146e+00, 1.14197284e-03
2.96110439e+00, -5.00000000e+00, 4.99999970e-02, -4.39877026e-02, 1.00000000e+00, 0.00000000e+00
2.83102274e+00, -4.78656816e+00, 4.99999970e-02, -4.37022485e-02, 1.06332862e+00, 1.40934205e-03
2.76207900e+00, -5.00000000e+00, 4.99999970e-02, -4.27578278e-02, 1.00000000e+00, 0.00000000e+00
2.66890407e+00, -4.80068731e+00, 4.99999970e-02, -4.26679589e-02, 1.06242108e+00, 1.24482729e-03
2.56305337e+00, -5.00000000e+00, 4.99999970e-02, -4.17266041e-02, 1.00000000e+00, 0.00000000e+00
2.48601270e+00, -4.81793547e+00, 4.99999970e-02, -4.12503369e-02, 1.06052935e+00, 9.91399516e-04
2.36402798e+00, -5.00000000e+00, 4.99999970e-02, -4.00819145e-02, 1.00000000e+00, 0.00000000e+00
2.29452586e+00, -4.82683372e+00, 4.99999970e-02, -3.93820964e-02, 1.06000578e+00, 8.12643906e-04
2.16500258e+00, -5.00000000e+00, 4.99999970e-02, -3.78672779e-02, 1.00000000e+00, 0.00000000e+00
2.09252262e+00, -4.82536697e+00, 4.99999970e-02, -3.69005240e-02, 1.06152868e+00, 6.55319833e-04
1.96597707e+00, -5.00000000e+00, 4.99999970e-02, -3.51746604e-02, 1.00000000e+00, 0.00000000e+00
1.88202775e+00, -4.80657530e+00, 4.99999970e-02, -3.38745825e-02, 1.06298018e+00, 5.76333958e-04
1.76695156e+00, -5.00000000e+00, 4.99999970e-02, -3.19115967e-02, 1.00000000e+00, 0.00000000e+00
1.67472076e+00, -4.83088636e+00, 4.99999970e-02, -3.03392131e-02, 1.06044817e+00, 3.77211632e-04
1.56792617e+00, -5.00000000e+00, 4.99999970e-02, -2.81759258e-02, 1.00000000e+00, 0.00000000e+00
1.47371638e+00, -4.83129597e+00, 4.99999970e-02, -2.64800563e-02, 1.06090987e+00, 8.35103783e-05
1.36890066e+00, -5.00000000e+00, 4.99999970e-02, -2.38925330e-02, 1.00000000e+00, 0.00000000e+00
1.26283741e+00, -4.80657530e+00, 4.99999970e-02, -2.12865882e-02, 1.06201470e+00, -2.28290606e-04
1.16987526e+00, -5.00000000e+00, 4.99999970e-02, -1.88865270e-02, 1.00000000e+00, 0.00000000e+00
1.07416701e+00, -4.83670330e+00, 4.99999970e-02, -1.67256836e-02, 1.05386853e+00, -2.27063734e-04
