Points:0,Points:1,U:0,U:1,p
3.5259,0.46349,0.33436,-0.047622,-0.087989
3.59,0.46291,0.33877,-0.047349,-0.08491
3.6541,0.46233,0.34317,-0.047052,-0.081919
3.7182,0.46175,0.34755,-0.046734,-0.079017
3.7823,0.46117,0.35192,-0.046395,-0.0762
3.8464,0.46059,0.35626,-0.046037,-0.073468
3.9105,0.46001,0.36059,-0.045663,-0.07082
3.9745,0.45943,0.36489,-0.045273,-0.068253
4.0386,0.45885,0.36917,-0.04487,-0.065766
4.1027,0.45827,0.37341,-0.044454,-0.063357
4.1668,0.45769,0.37763,-0.044027,-0.061024
4.2309,0.45711,0.38182,-0.043589,-0.058766
4.295,0.45653,0.38598,-0.043144,-0.05658
4.3591,0.45595,0.3901,-0.04269,-0.054466
4.4232,0.45537,0.39419,-0.04223,-0.05242
4.4873,0.45479,0.39825,-0.041764,-0.050442
4.5514,0.45421,0.40227,-0.041293,-0.04853
4.6155,0.45363,0.40626,-0.040819,-0.046681
4.6795,0.45305,0.41021,-0.040341,-0.044894
4.7436,0.45248,0.41412,-0.039862,-0.043167
4.8077,0.4519,0.41799,-0.03938,-0.041498
4.8718,0.45132,0.42184,-0.038898,-0.039883
4.9359,0.45074,0.4256,-0.038415,-0.038357
5,0.45016,0.42941,-0.037951,-0.036811
1.1281,0.54133,0.27728,-0.0059069,-0.2588
1.1926,0.54075,0.27758,-0.011989,-0.24968
1.2572,0.54017,0.28044,-0.015856,-0.24515
1.3217,0.53958,0.28288,-0.019222,-0.24085
1.3862,0.539,0.28488,-0.022497,-0.23593
1.4507,0.53842,0.28686,-0.025538,-0.23091
1.5153,0.53784,0.28888,-0.028329,-0.22588
1.5798,0.53726,0.29091,-0.030902,-0.22079
1.6443,0.53668,0.29301,-0.033273,-0.21565
1.7089,0.53609,0.29518,-0.035453,-0.2105
1.7734,0.53551,0.29745,-0.037454,-0.20534
1.8379,0.53493,0.29981,-0.039287,-0.20018
1.9025,0.53435,0.30228,-0.040964,-0.19504
1.967,0.53377,0.30485,-0.042493,-0.18992
2.0315,0.53318,0.30752,-0.043885,-0.18483
2.0961,0.5326,0.3103,-0.045146,-0.17979
2.1606,0.53202,0.31317,-0.046285,-0.1748
2.2251,0.53144,0.31614,-0.04731,-0.16987
2.2897,0.53086,0.3192,-0.048226,-0.165
2.3542,0.53028,0.32235,-0.049041,-0.16019
2.4187,0.52969,0.32557,-0.04976,-0.15546
2.4833,0.52911,0.32887,-0.050389,-0.15081
2.5478,0.52853,0.33225,-0.050933,-0.14624
2.6123,0.52795,0.33568,-0.051397,-0.14175
2.6769,0.52737,0.33917,-0.051786,-0.13734
2.7414,0.52679,0.34272,-0.052104,-0.13303
2.8059,0.5262,0.34631,-0.052356,-0.1288
2.8704,0.52562,0.34994,-0.052545,-0.12467
2.935,0.52504,0.35362,-0.052675,-0.12063
2.9995,0.52446,0.35732,-0.05275,-0.11668
3.064,0.52388,0.36105,-0.052774,-0.11283
3.1286,0.5233,0.36481,-0.052749,-0.10908
3.1931,0.52271,0.36858,-0.052679,-0.10541
3.2576,0.52213,0.37237,-0.052567,-0.10185
3.3222,0.52155,0.37617,-0.052416,-0.098374
3.3867,0.52097,0.37998,-0.052228,-0.094995
3.4512,0.52039,0.38379,-0.052006,-0.091709
3.5158,0.51981,0.3876,-0.051753,-0.088514
3.5803,0.51922,0.39141,-0.05147,-0.08541
3.6448,0.51864,0.39522,-0.05116,-0.082397
3.7094,0.51806,0.39901,-0.050826,-0.079471
3.7739,0.51748,0.4028,-0.050469,-0.076633
3.8384,0.5169,0.40658,-0.05009,-0.07388
3.903,0.51632,0.41034,-0.049693,-0.07121
3.9675,0.51573,0.41408,-0.049279,-0.068624
4.032,0.51515,0.4178,-0.048848,-0.066117
4.0966,0.51457,0.42151,-0.048404,-0.06369
4.1611,0.51399,0.42519,-0.047947,-0.06134
4.2256,0.51341,0.42885,-0.047478,-0.059065
4.2902,0.51283,0.43249,-0.047,-0.056863
4.3547,0.51224,0.43609,-0.046513,-0.054733
4.4192,0.51166,0.43968,-0.046018,-0.052673
4.4837,0.51108,0.44323,-0.045517,-0.050681
4.5483,0.5105,0.44676,-0.04501,-0.048755
4.6128,0.50992,0.45025,-0.044499,-0.046893
4.6773,0.50934,0.45372,-0.043984,-0.045093
4.7419,0.50875,0.45715,-0.043466,-0.043354
4.8064,0.50817,0.46056,-0.042947,-0.041675
4.8709,0.50759,0.46394,-0.042426,-0.040049
4.9355,0.50701,0.46724,-0.041904,-0.038514
5,0.50643,0.4706,-0.0414,-0.036957
1.0988,0.59627,0.3636,-0.0066957,-0.2604
1.1638,0.59571,0.36253,-0.012913,-0.25007
1.2288,0.59515,0.36431,-0.016684,-0.24556
1.2938,0.59459,0.36582,-0.019972,-0.24157
1.3588,0.59403,0.36681,-0.023268,-0.23673
1.4239,0.59347,0.3678,-0.026389,-0.23177
1.4889,0.59291,0.36885,-0.029291,-0.2268
1.5539,0.59235,0.36993,-0.031995,-0.22177
1.6189,0.59179,0.37109,-0.03451,-0.21667
1.6839,0.59123,0.37233,-0.036842,-0.21155
1.749,0.59067,0.37368,-0.038998,-0.20641
1.814,0.59012,0.37514,-0.040986,-0.20127
1.879,0.58956,0.37671,-0.042815,-0.19613
1.944,0.589,0.3784,-0.044492,-0.19102
2.009,0.58844,0.38021,-0.046026,-0.18593
2.0741,0.58788,0.38213,-0.047423,-0.18089
2.1391,0.58732,0.38416,-0.048692,-0.17589
2.2041,0.58676,0.3863,-0.049839,-0.17094
2.2691,0.5862,0.38854,-0.050869,-0.16605
2.3342,0.58564,0.39088,-0.051791,-0.16123
2.3992,0.58508,0.39332,-0.052609,-0.15648
2.4642,0.58452,0.39583,-0.05333,-0.1518
2.5292,0.58396,0.39843,-0.053958,-0.1472
2.5942,0.5834,0.4011,-0.054499,-0.14269
2.6593,0.58284,0.40385,-0.054957,-0.13826
2.7243,0.58228,0.40665,-0.055338,-0.13392
2.7893,0.58172,0.40952,-0.055646,-0.12966
2.8543,0.58116,0.41243,-0.055885,-0.1255
2.9193,0.5806,0.41539,-0.056059,-0.12144
2.9844,0.58004,0.4184,-0.056173,-0.11746
3.0494,0.57948,0.42144,-0.05623,-0.11358
3.1144,0.57892,0.42452,-0.056233,-0.1098
3.1794,0.57836,0.42762,-0.056186,-0.10611
3.2444,0.5778,0.43075,-0.056092,-0.10251
3.3095,0.57725,0.4339,-0.055954,-0.099012
3.3745,0.57669,0.43706,-0.055776,-0.095606
3.4395,0.57613,0.44024,-0.05556,-0.092294
3.5045,0.57557,0.44343,-0.055309,-0.089074
3.5695,0.57501,0.44662,-0.055025,-0.085945
3.6346,0.57445,0.44982,-0.054711,-0.082907
3.6996,0.57389,0.45302,-0.054369,-0.079958
3.7646,0.57333,0.45621,-0.054002,-0.077097
3.8296,0.57277,0.4594,-0.053612,-0.074322
3.8946,0.57221,0.46259,-0.0532,-0.071632
3.9597,0.57165,0.46577,-0.052768,-0.069024
4.0247,0.57109,0.46893,-0.052319,-0.066498
4.0897,0.57053,0.47209,-0.051854,-0.064052
4.1547,0.56997,0.47522,-0.051375,-0.061683
4.2198,0.56941,0.47835,-0.050883,-0.05939
4.2848,0.56885,0.48145,-0.050379,-0.057172
4.3498,0.56829,0.48454,-0.049865,-0.055026
4.4148,0.56773,0.48761,-0.049343,-0.05295
4.4798,0.56717,0.49066,-0.048813,-0.050943
4.5449,0.56661,0.49368,-0.048277,-0.049002
4.6099,0.56605,0.49668,-0.047736,-0.047127
4.6749,0.56549,0.49966,-0.04719,-0.045314
4.7399,0.56493,0.50262,-0.046642,-0.043563
4.8049,0.56438,0.50555,-0.046091,-0.041871
4.87,0.56382,0.50846,-0.045538,-0.040234
4.935,0.56326,0.51131,-0.044985,-0.038688
5,0.5627,0.5142,-0.044445,-0.037121
1.0666,0.6496,0.4565,-0.0062539,-0.26183
1.1322,0.64909,0.45347,-0.012549,-0.25021
1.1978,0.64858,0.45353,-0.016273,-0.24566
1.2633,0.64807,0.45361,-0.019541,-0.24201
1.3289,0.64756,0.45321,-0.022881,-0.23732
1.3944,0.64705,0.45285,-0.026098,-0.23242
1.46,0.64654,0.45262,-0.029133,-0.22753
1.5255,0.64603,0.45249,-0.031992,-0.22257
1.5911,0.64552,0.45247,-0.034676,-0.21754
1.6566,0.64501,0.45259,-0.037183,-0.21247
1.7222,0.6445,0.45284,-0.039517,-0.20737
1.7878,0.64399,0.45325,-0.041683,-0.20226
1.8533,0.64348,0.45379,-0.043686,-0.19715
1.9189,0.64297,0.45449,-0.045533,-0.19205
1.9844,0.64245,0.45532,-0.04723,-0.18698
2.05,0.64194,0.4563,-0.048785,-0.18193
2.1155,0.64143,0.4574,-0.050202,-0.17693
2.1811,0.64092,0.45864,-0.05149,-0.17198
2.2467,0.64041,0.46,-0.052654,-0.16709
2.3122,0.6399,0.46147,-0.0537,-0.16225
2.3778,0.63939,0.46306,-0.054634,-0.15749
2.4433,0.63888,0.46474,-0.055463,-0.15279
2.5089,0.63837,0.46653,-0.056191,-0.14817
2.5744,0.63786,0.4684,-0.056824,-0.14364
2.64,0.63735,0.47036,-0.057368,-0.13918
2.7055,0.63684,0.47239,-0.057826,-0.13482
2.7711,0.63633,0.4745,-0.058204,-0.13054
2.8367,0.63582,0.47668,-0.058507,-0.12635
2.9022,0.63531,0.47891,-0.058739,-0.12226
2.9678,0.6348,0.4812,-0.058903,-0.11826
3.0333,0.63428,0.48353,-0.059005,-0.11435
3.0989,0.63377,0.48592,-0.059048,-0.11054
3.1644,0.63326,0.48834,-0.059036,-0.10682
3.23,0.63275,0.4908,-0.058971,-0.1032
3.2955,0.63224,0.49329,-0.058859,-0.099675
3.3611,0.63173,0.4958,-0.058701,-0.096243
3.4267,0.63122,0.49834,-0.058501,-0.092905
3.4922,0.63071,0.5009,-0.058263,-0.08966
3.5578,0.6302,0.50347,-0.057988,-0.086507
3.6233,0.62969,0.50606,-0.057679,-0.083444
3.6889,0.62918,0.50866,-0.05734,-0.080472
3.7544,0.62867,0.51127,-0.056972,-0.077588
3.82,0.62816,0.51388,-0.056578,-0.07479
3.8855,0.62765,0.51649,-0.056161,-0.072078
3.9511,0.62714,0.5191,-0.055721,-0.06945
4.0167,0.62663,0.52171,-0.055261,-0.066904
4.0822,0.62611,0.52432,-0.054784,-0.064438
4.1478,0.6256,0.52692,-0.05429,-0.06205
4.2133,0.62509,0.52951,-0.053782,-0.059739
4.2789,0.62458,0.53209,-0.053261,-0.057504
4.3444,0.62407,0.53467,-0.052729,-0.055341
4.41,0.62356,0.53723,-0.052187,-0.053249
4.4756,0.62305,0.53977,-0.051636,-0.051226
4.5411,0.62254,0.5423,-0.051077,-0.049271
4.6067,0.62203,0.54482,-0.050513,-0.047381
4.6722,0.62152,0.54732,-0.049944,-0.045555
4.7378,0.62101,0.5498,-0.04937,-0.043791
4.8033,0.6205,0.55226,-0.048794,-0.042087
4.8689,0.61999,0.55472,-0.048216,-0.040438
4.9344,0.61948,0.55711,-0.047638,-0.038877
5,0.61897,0.55956,-0.047069,-0.037304
1.0318,0.70118,0.55432,-0.0042221,-0.26319
1.098,0.70075,0.54888,-0.010404,-0.25029
1.1641,0.70032,0.54656,-0.014131,-0.24542
1.2302,0.69989,0.54474,-0.01753,-0.24207
1.2964,0.69945,0.54259,-0.021019,-0.23763
1.3625,0.69902,0.54056,-0.024398,-0.23284
1.4286,0.69859,0.53876,-0.027622,-0.22804
1.4948,0.69816,0.53717,-0.030689,-0.22317
1.5609,0.69772,0.53577,-0.033589,-0.21822
1.6271,0.69729,0.53458,-0.036315,-0.21322
1.6932,0.69686,0.5336,-0.038868,-0.20818
1.7593,0.69643,0.53281,-0.041249,-0.20312
1.8255,0.69599,0.53222,-0.043463,-0.19805
1.8916,0.69556,0.53181,-0.045512,-0.19298
1.9577,0.69513,0.53159,-0.047404,-0.18793
2.0239,0.6947,0.53154,-0.049144,-0.1829
2.09,0.69426,0.53166,-0.050738,-0.17791
2.1561,0.69383,0.53193,-0.052192,-0.17297
2.2223,0.6934,0.53236,-0.053513,-0.16807
2.2884,0.69297,0.53293,-0.054707,-0.16323
2.3546,0.69253,0.53363,-0.055779,-0.15846
2.4207,0.6921,0.53446,-0.056737,-0.15375
2.4868,0.69167,0.5354,-0.057585,-0.14912
2.553,0.69124,0.53645,-0.058329,-0.14457
2.6191,0.6908,0.53761,-0.058975,-0.1401
2.6852,0.69037,0.53886,-0.059529,-0.13571
2.7514,0.68994,0.5402,-0.059994,-0.13141
2.8175,0.68951,0.54163,-0.060376,-0.1272
2.8836,0.68907,0.54312,-0.060681,-0.12308
2.9498,0.68864,0.54469,-0.060911,-0.11906
3.0159,0.68821,0.54632,-0.061073,-0.11513
3.082,0.68778,0.54801,-0.061169,-0.11129
3.1482,0.68734,0.54976,-0.061204,-0.10755
3.2143,0.68691,0.55155,-0.061182,-0.1039
3.2805,0.68648,0.55338,-0.061107,-0.10035
3.3466,0.68605,0.55525,-0.060982,-0.096893
3.4127,0.68561,0.55716,-0.06081,-0.09353
3.4789,0.68518,0.5591,-0.060595,-0.09026
3.545,0.68475,0.56107,-0.06034,-0.087083
3.6111,0.68432,0.56306,-0.060047,-0.083997
3.6773,0.68389,0.56507,-0.059721,-0.081002
3.7434,0.68345,0.5671,-0.059362,-0.078095
3.8095,0.68302,0.56914,-0.058975,-0.075276
3.8757,0.68259,0.57119,-0.058561,-0.072543
3.9418,0.68216,0.57325,-0.058122,-0.069894
4.008,0.68172,0.57532,-0.057661,-0.067327
4.0741,0.68129,0.5774,-0.05718,-0.064842
4.1402,0.68086,0.57947,-0.056681,-0.062436
4.2064,0.68043,0.58155,-0.056165,-0.060107
4.2725,0.67999,0.58363,-0.055635,-0.057854
4.3386,0.67956,0.5857,-0.055092,-0.055674
4.4048,0.67913,0.58777,-0.054537,-0.053566
4.4709,0.6787,0.58983,-0.053972,-0.051528
4.537,0.67826,0.59189,-0.053399,-0.049558
4.6032,0.67783,0.59393,-0.052819,-0.047654
4.6693,0.6774,0.59597,-0.052233,-0.045814
4.7355,0.67697,0.598,-0.051642,-0.044037
4.8016,0.67653,0.60001,-0.051048,-0.04232
4.8677,0.6761,0.60202,-0.05045,-0.040659
4.9339,0.67567,0.60399,-0.049853,-0.039081
5,0.67524,0.606,-0.049261,-0.037506
0.99441,0.75087,0.6546,-0.00066663,-0.2644
1.0612,0.75055,0.64683,-0.0064758,-0.251
1.1279,0.75023,0.64155,-0.010069,-0.24523
1.1947,0.7499,0.63733,-0.013687,-0.24178
1.2614,0.74958,0.63318,-0.01745,-0.23762
1.3282,0.74926,0.62924,-0.021102,-0.23303
1.395,0.74894,0.62565,-0.024611,-0.22834
1.4617,0.74861,0.62241,-0.027967,-0.22358
1.5285,0.74829,0.61948,-0.031153,-0.21873
1.5952,0.74797,0.61685,-0.034161,-0.21382
1.662,0.74764,0.6145,-0.036987,-0.20885
1.7288,0.74732,0.61243,-0.039633,-0.20386
1.7955,0.747,0.61062,-0.0421,-0.19884
1.8623,0.74668,0.60905,-0.044393,-0.19382
1.929,0.74635,0.60772,-0.046516,-0.1888
1.9958,0.74603,0.6066,-0.048475,-0.18381
2.0626,0.74571,0.60569,-0.050277,-0.17884
2.1293,0.74538,0.60498,-0.051927,-0.1739
2.1961,0.74506,0.60445,-0.053432,-0.16902
2.2628,0.74474,0.60409,-0.054799,-0.16418
2.3296,0.74442,0.6039,-0.056033,-0.15941
2.3964,0.74409,0.60385,-0.057142,-0.1547
2.4631,0.74377,0.60395,-0.058131,-0.15006
2.5299,0.74345,0.60418,-0.059007,-0.14549
2.5966,0.74313,0.60454,-0.059775,-0.14101
2.6634,0.7428,0.60501,-0.060441,-0.1366
2.7302,0.74248,0.60559,-0.061011,-0.13229
2.7969,0.74216,0.60627,-0.06149,-0.12806
2.8637,0.74183,0.60704,-0.061883,-0.12392
2.9304,0.74151,0.6079,-0.062194,-0.11987
2.9972,0.74119,0.60884,-0.06243,-0.11592
3.064,0.74087,0.60985,-0.062593,-0.11206
3.1307,0.74054,0.61093,-0.06269,-0.10829
3.1975,0.74022,0.61207,-0.062723,-0.10462
3.2642,0.7399,0.61327,-0.062698,-0.10104
3.331,0.73957,0.61452,-0.062617,-0.097562
3.3978,0.73925,0.61582,-0.062485,-0.094175
3.4645,0.73893,0.61716,-0.062305,-0.090881
3.5313,0.73861,0.61854,-0.062081,-0.08768
3.598,0.73828,0.61995,-0.061815,-0.084571
3.6648,0.73796,0.62139,-0.061511,-0.081552
3.7316,0.73764,0.62287,-0.061172,-0.078623
3.7983,0.73732,0.62436,-0.060801,-0.075782
3.8651,0.73699,0.62588,-0.060399,-0.073027
3.9318,0.73667,0.62742,-0.059971,-0.070357
3.9986,0.73635,0.62897,-0.059517,-0.067771
4.0654,0.73602,0.63054,-0.059041,-0.065266
4.1321,0.7357,0.63212,-0.058545,-0.062841
4.1989,0.73538,0.63371,-0.05803,-0.060494
4.2656,0.73506,0.6353,-0.057498,-0.058223
4.3324,0.73473,0.6369,-0.056952,-0.056026
4.3992,0.73441,0.6385,-0.056392,-0.053902
4.4659,0.73409,0.64011,-0.055822,-0.051848
4.5327,0.73377,0.64171,-0.055241,-0.049863
4.5994,0.73344,0.64332,-0.054652,-0.047944
4.6662,0.73312,0.64492,-0.054056,-0.04609
4.733,0.7328,0.64652,-0.053454,-0.044299
4.7997,0.73247,0.64811,-0.052847,-0.042569
4.8665,0.73215,0.64971,-0.052237,-0.040896
4.9332,0.73183,0.65127,-0.051627,-0.039298
5,0.73151,0.65286,-0.051018,-0.037725
0.95449,0.79854,0.7536,0.0051501,-0.26213
1.0219,0.79836,0.74496,-0.0005884,-0.25206
1.0893,0.79818,0.73659,-0.0040942,-0.24568
1.1568,0.798,0.72941,-0.0079366,-0.2413
1.2242,0.79782,0.72295,-0.012001,-0.23715
1.2916,0.79764,0.71699,-0.016004,-0.23279
1.359,0.79746,0.7115,-0.019897,-0.22825
1.4265,0.79728,0.7065,-0.023648,-0.22362
1.4939,0.7971,0.70196,-0.027222,-0.21891
1.5613,0.79692,0.69783,-0.030604,-0.21412
1.6287,0.79674,0.69408,-0.033789,-0.20927
1.6962,0.79656,0.69069,-0.036775,-0.20438
1.7636,0.79638,0.68763,-0.039566,-0.19945
1.831,0.7962,0.68488,-0.042164,-0.19451
1.8984,0.79602,0.68242,-0.044574,-0.18956
1.9659,0.79585,0.68023,-0.046804,-0.18461
2.0333,0.79567,0.6783,-0.048859,-0.17969
2.1007,0.79549,0.67659,-0.050746,-0.17479
2.1681,0.79531,0.67512,-0.052473,-0.16993
2.2356,0.79513,0.67384,-0.054048,-0.16512
2.303,0.79495,0.67276,-0.055476,-0.16036
2.3704,0.79477,0.67187,-0.056765,-0.15565
2.4378,0.79459,0.67114,-0.057921,-0.15102
2.5053,0.79441,0.67057,-0.058952,-0.14645
2.5727,0.79423,0.67014,-0.059864,-0.14196
2.6401,0.79405,0.66986,-0.060664,-0.13755
2.7075,0.79387,0.6697,-0.061357,-0.13322
2.775,0.79369,0.66966,-0.061949,-0.12897
2.8424,0.79351,0.66974,-0.062445,-0.12482
2.9098,0.79333,0.66991,-0.062853,-0.12075
2.9772,0.79316,0.67019,-0.063176,-0.11678
3.0447,0.79298,0.67055,-0.063419,-0.11289
3.1121,0.7928,0.67099,-0.063588,-0.1091
3.1795,0.79262,0.67152,-0.063688,-0.10541
3.2469,0.79244,0.67211,-0.063722,-0.10181
3.3144,0.79226,0.67276,-0.063695,-0.098302
3.3818,0.79208,0.67348,-0.063612,-0.094889
3.4492,0.7919,0.67425,-0.063475,-0.09157
3.5166,0.79172,0.67508,-0.063289,-0.088344
3.5841,0.79154,0.67595,-0.063057,-0.08521
3.6515,0.79136,0.67686,-0.062783,-0.082166
3.7189,0.79118,0.67781,-0.062469,-0.079212
3.7863,0.791,0.67879,-0.06212,-0.076347
3.8538,0.79082,0.67981,-0.061737,-0.073569
3.9212,0.79064,0.68085,-0.061324,-0.070876
3.9886,0.79047,0.68192,-0.060884,-0.068266
4.056,0.79029,0.68302,-0.060418,-0.065739
4.1235,0.79011,0.68413,-0.059929,-0.063293
4.1909,0.78993,0.68526,-0.059419,-0.060925
4.2583,0.78975,0.68641,-0.058891,-0.058633
4.3257,0.78957,0.68757,-0.058346,-0.056417
4.3932,0.78939,0.68874,-0.057786,-0.054274
4.4606,0.78921,0.68992,-0.057213,-0.052202
4.528,0.78903,0.69111,-0.056629,-0.050199
4.5954,0.78885,0.6923,-0.056035,-0.048264
4.6629,0.78867,0.6935,-0.055433,-0.046394
4.7303,0.78849,0.6947,-0.054824,-0.044587
4.7977,0.78831,0.69591,-0.054209,-0.042842
4.8651,0.78813,0.69712,-0.053589,-0.041154
4.9326,0.78795,0.69831,-0.052968,-0.039532
5,0.78778,0.69951,-0.052347,-0.037964
0.91218,0.84405,0.86218,0.015972,-0.24797
0.98031,0.84405,0.85134,0.0094422,-0.2494
1.0484,0.84405,0.83955,0.0053431,-0.24561
1.1166,0.84405,0.82853,0.00083352,-0.24018
1.1847,0.84405,0.81914,-0.0038923,-0.23578
1.2528,0.84405,0.81083,-0.0084981,-0.23166
1.321,0.84405,0.80324,-0.012951,-0.2273
1.3891,0.84405,0.79631,-0.017237,-0.2228
1.4572,0.84405,0.78999,-0.021321,-0.21823
1.5253,0.84405,0.78422,-0.025184,-0.21358
1.5935,0.84405,0.77894,-0.028821,-0.20886
1.6616,0.84405,0.7741,-0.032231,-0.20408
1.7297,0.84405,0.76967,-0.035419,-0.19926
1.7979,0.84405,0.76562,-0.038389,-0.19441
1.866,0.84405,0.76191,-0.041149,-0.18955
1.9341,0.84405,0.75854,-0.043705,-0.18468
2.0023,0.84405,0.75546,-0.046066,-0.17982
2.0704,0.84405,0.75266,-0.04824,-0.17498
2.1385,0.84405,0.75012,-0.050236,-0.17017
2.2067,0.84405,0.74783,-0.052061,-0.1654
2.2748,0.84405,0.74577,-0.053724,-0.16068
2.3429,0.84405,0.74391,-0.055232,-0.15601
2.411,0.84405,0.74226,-0.056593,-0.1514
2.4792,0.84405,0.74079,-0.057815,-0.14685
2.5473,0.84405,0.73949,-0.058906,-0.14238
2.6154,0.84405,0.73835,-0.059871,-0.13798
2.6836,0.84405,0.73737,-0.060718,-0.13367
2.7517,0.84405,0.73653,-0.061454,-0.12943
2.8198,0.84405,0.73582,-0.062084,-0.12528
2.888,0.84405,0.73523,-0.062615,-0.12122
2.9561,0.84405,0.73475,-0.063053,-0.11724
3.0242,0.84405,0.73439,-0.063402,-0.11336
3.0923,0.84405,0.73412,-0.06367,-0.10957
3.1605,0.84405,0.73394,-0.063859,-0.10587
3.2286,0.84405,0.73386,-0.063977,-0.10227
3.2967,0.84405,0.73385,-0.064027,-0.098757
3.3649,0.84405,0.73392,-0.064013,-0.095338
3.433,0.84405,0.73405,-0.063941,-0.092013
3.5011,0.84405,0.73425,-0.063813,-0.08878
3.5693,0.84405,0.73451,-0.063635,-0.085638
3.6374,0.84405,0.73483,-0.063409,-0.082587
3.7055,0.84405,0.73519,-0.06314,-0.079625
3.7737,0.84405,0.7356,-0.062831,-0.076751
3.8418,0.84405,0.73606,-0.062484,-0.073964
3.9099,0.84405,0.73656,-0.062103,-0.071262
3.978,0.84405,0.73709,-0.061691,-0.068644
4.0462,0.84405,0.73765,-0.06125,-0.066108
4.1143,0.84405,0.73825,-0.060784,-0.063653
4.1824,0.84405,0.73887,-0.060293,-0.061276
4.2506,0.84405,0.73952,-0.059782,-0.058976
4.3187,0.84405,0.74019,-0.059252,-0.056752
4.3868,0.84405,0.74089,-0.058704,-0.0546
4.455,0.84405,0.7416,-0.058142,-0.05252
4.5231,0.84405,0.74233,-0.057566,-0.050509
4.5912,0.84405,0.74307,-0.056978,-0.048565
4.6593,0.84405,0.74382,-0.056381,-0.046687
4.7275,0.84405,0.74459,-0.055775,-0.044873
4.7956,0.84405,0.74537,-0.055161,-0.04312
4.8637,0.84405,0.74615,-0.054541,-0.041426
4.9319,0.84405,0.74694,-0.053917,-0.039792
5,0.84405,0.74773,-0.053295,-0.038235
1.2561,0,-0.11078,3.13E-09,-0.24672
1.3185,0,-0.11081,4.17E-09,-0.24218
1.3809,0,-0.10987,5.38E-09,-0.23756
1.4433,0,-0.10819,6.74E-09,-0.23281
1.5057,0,-0.10585,8.24E-09,-0.22797
1.5681,0,-0.10292,9.92E-09,-0.22305
1.6305,0,-0.099492,1.18E-08,-0.21808
1.6929,0,-0.095606,1.36E-08,-0.21307
1.7553,0,-0.091317,1.55E-08,-0.20804
1.8177,0,-0.086668,1.73E-08,-0.203
1.88,0,-0.081695,1.90E-08,-0.19797
1.9424,0,-0.076434,2.05E-08,-0.19295
2.0048,0,-0.070912,2.20E-08,-0.18796
2.0672,0,-0.065157,2.32E-08,-0.183
2.1296,0,-0.059193,2.40E-08,-0.17808
2.192,0,-0.05304,2.43E-08,-0.17321
2.2544,0,-0.046719,2.40E-08,-0.1684
2.3168,0,-0.040247,2.32E-08,-0.16365
2.3792,0,-0.033642,2.20E-08,-0.15897
2.4416,0,-0.026917,2.04E-08,-0.15435
2.504,0,-0.020088,1.85E-08,-0.14981
2.5664,0,-0.013166,1.63E-08,-0.14535
2.6288,0,-0.0061646,1.39E-08,-0.14096
2.6912,0,0.00090572,1.11E-08,-0.13666
2.7536,0,0.0080345,8.03E-09,-0.13245
2.816,0,0.015212,4.71E-09,-0.12832
2.8784,0,0.022429,1.22E-09,-0.12428
2.9408,0,0.029678,-2.44E-09,-0.12033
3.0032,0,0.03695,-6.29E-09,-0.11647
3.0656,0,0.044238,-1.02E-08,-0.1127
3.128,0,0.051535,-1.42E-08,-0.10902
3.1904,0,0.058834,-1.83E-08,-0.10543
3.2528,0,0.066131,-2.22E-08,-0.10193
3.3152,0,0.073418,-2.61E-08,-0.098527
3.3776,0,0.080691,-2.98E-08,-0.095209
3.44,0,0.087945,-3.35E-08,-0.09198
3.5024,0,0.095175,-3.69E-08,-0.088839
3.5648,0,0.10238,-4.00E-08,-0.085786
3.6272,0,0.10955,-4.30E-08,-0.082818
3.6896,0,0.11668,-4.58E-08,-0.079936
3.752,0,0.12378,-4.81E-08,-0.077136
3.8144,0,0.13083,-5.03E-08,-0.07442
3.8768,0,0.13784,-5.22E-08,-0.071784
3.9392,0,0.14481,-5.38E-08,-0.069227
4.0016,0,0.15172,-5.52E-08,-0.066748
4.064,0,0.15858,-5.62E-08,-0.064345
4.1264,0,0.16538,-5.70E-08,-0.062016
4.1888,0,0.17213,-5.73E-08,-0.059761
4.2512,0,0.17882,-5.72E-08,-0.057576
4.3136,0,0.18546,-5.69E-08,-0.055461
4.376,0,0.19203,-5.61E-08,-0.053413
4.4384,0,0.19854,-5.48E-08,-0.051432
4.5008,0,0.20499,-5.32E-08,-0.049514
4.5632,0,0.21137,-5.12E-08,-0.047659
4.6256,0,0.21769,-4.90E-08,-0.045865
4.688,0,0.22395,-4.63E-08,-0.04413
4.7504,0,0.23013,-4.34E-08,-0.042453
4.8128,0,0.23626,-4.02E-08,-0.040831
4.8752,0,0.24231,-3.68E-08,-0.039262
4.9376,0,0.2483,-3.32E-08,-0.037748
5,0,0.25423,-2.95E-08,-0.036279
1.2544,0.06237,-0.10573,0.00053536,-0.24696
1.3169,0.062268,-0.10569,-0.00047972,-0.24236
1.3793,0.062166,-0.10466,-0.0012966,-0.23774
1.4417,0.062065,-0.10293,-0.0020011,-0.23298
1.5042,0.061963,-0.10055,-0.0026145,-0.22813
1.5666,0.061861,-0.097608,-0.0031514,-0.2232
1.629,0.06176,-0.094165,-0.0036238,-0.21823
1.6914,0.061658,-0.090279,-0.0040413,-0.21321
1.7539,0.061556,-0.085997,-0.0044117,-0.20818
1.8163,0.061455,-0.081362,-0.0047409,-0.20313
