Points:0,Points:1,U:0,U:1,p
0.20337,0.45677,0.023784,-0.0088896,-0.43042
0.21716,0.48776,0.057845,-0.014157,-0.42361
0.2314,0.51973,0.13559,-0.02083,-0.4098
0.24609,0.55272,0.23011,-0.020143,-0.39637
0.26124,0.58676,0.33657,-0.013077,-0.3837
0.27688,0.62189,0.45037,-0.00078578,-0.37135
0.29302,0.65813,0.56704,0.01557,-0.35916
0.30967,0.69553,0.68229,0.03466,-0.34696
0.32685,0.73411,0.79217,0.055087,-0.33458
0.34457,0.77393,0.89331,0.075494,-0.32192
0.36287,0.81501,0.98316,0.094673,-0.30893
0.38174,0.8574,1.0601,0.11166,-0.29566
0.40121,0.90114,1.1234,0.12578,-0.28221
0.42131,0.94627,1.1734,0.13668,-0.26871
0.44204,0.99283,1.211,0.14451,-0.25517
0.46343,1.0409,1.2373,0.14842,-0.24302
0.48551,1.0905,1.2556,0.1517,-0.22811
0.17918,0.46679,0.032152,-0.010419,-0.44359
0.19134,0.49846,0.073784,-0.015677,-0.43619
0.20388,0.53113,0.16618,-0.021228,-0.42123
0.21682,0.56485,0.27412,-0.017582,-0.40674
0.23018,0.59963,0.39219,-0.0064517,-0.39301
0.24396,0.63553,0.51516,0.01037,-0.37947
0.25817,0.67256,0.63803,0.031174,-0.36591
0.27284,0.71078,0.75615,0.054171,-0.35215
0.28798,0.75021,0.86549,0.077619,-0.33805
0.3036,0.7909,0.96291,0.099962,-0.32358
0.31971,0.83288,1.0464,0.11994,-0.30877
0.33634,0.8762,1.115,0.13669,-0.29377
0.3535,0.9209,1.1689,0.14973,-0.27874
0.3712,0.96702,1.2092,0.15895,-0.26388
0.38947,1.0146,1.2376,0.16471,-0.24924
0.40832,1.0637,1.2557,0.16665,-0.23596
0.42777,1.1144,1.2664,0.16763,-0.22085
0.15451,0.47553,0.041598,-0.011367,-0.45642
0.16499,0.50779,0.091412,-0.016044,-0.44846
0.17581,0.54107,0.19931,-0.019375,-0.43241
0.18696,0.57542,0.32077,-0.011823,-0.41685
0.19848,0.61086,0.44983,0.0040693,-0.40201
0.21036,0.64742,0.58071,0.025788,-0.38714
0.22262,0.68515,0.70797,0.051041,-0.37202
0.23527,0.72409,0.82682,0.077587,-0.35648
0.24832,0.76426,0.93339,0.1034,-0.34046
0.26179,0.80571,1.0251,0.12684,-0.32402
0.27569,0.84847,1.1006,0.14671,-0.30731
0.29002,0.8926,1.1599,0.16235,-0.29056
0.30482,0.93814,1.2042,0.17357,-0.27401
0.32009,0.98512,1.2351,0.18056,-0.25788
0.33584,1.0336,1.2551,0.18394,-0.24227
0.35209,1.0836,1.2663,0.18371,-0.22806
0.36886,1.1352,1.2709,0.18237,-0.21271
0.12941,0.48296,0.052063,-0.011578,-0.46852
0.13819,0.51573,0.11056,-0.01502,-0.46006
0.14725,0.54953,0.23456,-0.014928,-0.44299
0.15659,0.58442,0.36933,-0.002532,-0.42638
0.16624,0.62041,0.50846,0.01871,-0.41033
0.17619,0.65755,0.64569,0.045509,-0.39398
0.18646,0.69587,0.77537,0.074987,-0.37709
0.19705,0.73541,0.89279,0.10451,-0.35957
0.20798,0.7762,0.99458,0.13187,-0.34147
0.21926,0.8183,1.0789,0.15546,-0.32296
0.2309,0.86174,1.1454,0.17431,-0.30433
0.24291,0.90656,1.1951,0.18806,-0.28588
0.2553,0.95281,1.2299,0.19688,-0.26791
0.26809,1.0005,1.2523,0.20128,-0.25064
0.28128,1.0498,1.265,0.2021,-0.23419
0.2949,1.1006,1.2704,0.19966,-0.21923
0.30894,1.153,1.2704,0.19611,-0.20363
0.10396,0.48907,0.063447,-0.010898,-0.47949
0.11101,0.52225,0.13101,-0.012381,-0.47059
0.11828,0.55649,0.2714,-0.0075929,-0.4526
0.12579,0.59181,0.41897,0.010534,-0.43495
0.13354,0.62826,0.56692,0.037564,-0.4176
0.14153,0.66587,0.70875,0.069421,-0.3996
0.14978,0.70467,0.83882,0.10268,-0.38075
0.15829,0.74471,0.95281,0.13441,-0.36107
0.16708,0.78603,1.0481,0.16239,-0.34077
0.17614,0.82866,1.1239,0.18519,-0.32016
0.18549,0.87264,1.1808,0.20217,-0.29965
0.19513,0.91803,1.221,0.21338,-0.2796
0.20509,0.96486,1.2471,0.21937,-0.26035
0.21536,1.0132,1.262,0.22098,-0.2421
0.22596,1.063,1.2686,0.21923,-0.22495
0.23689,1.1145,1.2695,0.21464,-0.20939
0.24818,1.1676,1.2661,0.20903,-0.19361
0.078217,0.49384,0.075604,-0.0091839,-0.48888
0.083523,0.52735,0.15244,-0.0079327,-0.47962
0.088998,0.56191,0.30922,0.0028566,-0.46081
0.094648,0.59758,0.46875,0.027507,-0.44212
