"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
18.768,-0.67101,0.005,0.75381,0.0070553,-1.1075e-20,0.00030055
2.9569,-4.2728,0.005,1.0914,-0.013456,7.0865e-19,-0.0391
4.0658,-0.04728,0.005,0.1388,0.0043743,2.1018e-18,-0.069641
-2.1024,-3.5227,0.005,1.0156,-0.059525,-2.8042e-19,0.04052
-3.6733,-1.7575,0.005,0.97574,-0.034078,1.1054e-19,0.085273
-2.3191,-2.1914,0.005,0.98233,-0.073382,7.044e-19,0.076078
-0.84151,-3.1714,0.005,1.0444,-0.084405,-6.2557e-20,0.010384
-6.9064,-3.0147,0.005,0.99789,-0.0098021,-1.0621e-17,0.061252
9.0153,-0.1314,0.005,0.47363,0.0053611,1.2633e-19,-0.005306
13.112,0.064442,0.005,0.59347,-0.0014553,-1.0588e-20,-0.0002212
10.588,1.0619,0.005,0.81382,-0.021361,7.2433e-20,-0.0027865
11.206,6.1858,0.005,1.0586,-0.0067858,1.7859e-18,-0.00906
13.937,4.3145,0.005,1.0584,-0.0074433,-9.9124e-20,-0.0039065
16.146,3.7756,0.005,1.0574,-0.0062793,6.3931e-21,-0.0017067
12.417,3.2837,0.005,1.0612,-0.010222,2.6888e-20,-0.0045366
10.985,3.0178,0.005,1.0632,-0.012768,1.4197e-20,-0.0063883
1.6812,-3.5729,0.005,1.1014,-0.038114,6.9508e-19,-0.048756
7.7615,6.6166,0.005,1.0639,-0.0057667,-1.9446e-18,-0.015823
-2.8778,-2.634,0.005,0.99116,-0.054095,-1.9665e-18,0.067565
16.141,1.3052,0.005,0.88668,-0.011431,1.6591e-21,-0.00021293
16.537,-0.52658,0.005,0.70709,0.0071435,7.0191e-21,0.00018404
14.516,0.64062,0.005,0.71044,-0.010499,-5.0228e-23,8.4005e-05
7.1105,3.3782,0.005,1.077,-0.016543,8.6586e-20,-0.021143
4.7973,3.6792,0.005,1.0911,-0.0080787,4.0817e-19,-0.036992
-1.9383,-0.021608,0.005,0.8578,-0.0028911,-4.6823e-18,0.19533
11.84,-0.59017,0.005,0.66018,0.013645,-1.499e-20,-0.00047964
4.7613,6.8846,0.005,1.0663,0.0006018,2.6124e-18,-0.018948
1.9612,-0.050006,0.005,-0.064265,0.0032385,1.9681e-18,-0.18188
17.273,3.5143,0.005,1.0568,-0.0058571,3.6755e-20,-0.00097516
17.664,1.8815,0.005,0.98735,-0.0087546,2.1653e-21,-0.00021444
4.1418,-1.9865,0.005,1.1091,0.024536,-5.1597e-19,-0.060917
0.7416,0.33317,0.005,0.008842,0.034864,3.2739e-19,-0.26318
8.5513,0.70337,0.005,0.64236,-0.025206,-1.5736e-19,-0.0071574
5.5663,1.8098,0.005,1.0655,-0.032943,6.0527e-19,-0.035637
3.7584,2.7211,0.005,1.1127,-0.0073128,-7.8544e-19,-0.058321
6.7697,1.362,0.005,0.94032,-0.036271,3.0177e-19,-0.019987
-1.9608,0.86268,0.005,0.90282,0.079958,-4.8834e-18,0.15225
11.151,-5.2576,0.005,1.0604,0.0084008,6.9267e-19,-0.0086443
13.448,-3.9356,0.005,1.0595,0.0082819,-3.2031e-20,-0.0040597
15.505,-3.4766,0.005,1.058,0.0069303,-2.2026e-21,-0.0018823
12.319,-3.3893,0.005,1.0614,0.010203,-1.0702e-19,-0.0047937
17.729,-4.5779,0.005,1.055,0.0051023,1.2842e-19,-0.0011582
15.839,3.1342,0.005,1.0568,-0.0069785,3.6125e-20,-0.0014271
-3.3913,-1.1182,0.005,0.96035,-0.030446,3.3649e-19,0.10118
15.249,-1.3395,0.005,0.89566,0.01231,-2.0434e-21,-9.6062e-05
6.3773,-0.98251,0.005,0.76095,0.040602,-2.165e-19,-0.022876
-0.29447,0.6618,0.005,0.99461,0.48534,-2.7751e-19,-0.19359
17.708,0.26194,0.005,0.68495,-0.0034927,7.6838e-21,0.00050613
13.715,1.9944,0.005,1.0168,-0.011755,1.2112e-20,-0.0014889
14.773,2.5723,0.005,1.0495,-0.0087322,-2.039e-21,-0.0015209
11.592,2.1746,0.005,1.0413,-0.014253,8.3652e-21,-0.0038825
3.1376,3.2842,0.005,1.1086,0.0079564,8.3371e-19,-0.055166
1.8277,3.0751,0.005,1.1164,0.037909,-1.4791e-19,-0.064007
1.0323,0.63844,0.005,0.38559,-0.0055389,2.6664e-18,-0.24251
7.1448,0.14326,0.005,0.38481,-0.0082163,-6.1006e-19,-0.014121
5.2283,1.0183,0.005,0.78354,-0.048572,-4.1008e-19,-0.039535
-0.48166,0.53634,0.005,0.79724,0.55785,0,0.035722
14.807,-3.6298,0.005,1.0586,0.0073466,4.2632e-20,-0.0025038
15.848,-3.9289,0.005,1.0574,0.0063667,7.8669e-20,-0.0019874
14.638,-3.9444,0.005,1.0583,0.0072183,-1.6583e-20,-0.0029168
0.47938,0.68393,0.005,0.51775,0.010656,2.3075e-18,-0.28845
0.93929,1.1504,0.005,1.1361,0.079561,-1.9156e-18,-0.20287
0.73018,2.0123,0.005,1.1473,0.10435,2.9371e-18,-0.10156
-0.50981,2.2752,0.005,1.0572,0.13112,-8.9057e-22,-0.0061103
-0.56173,-0.57633,0.005,0.81131,-0.50008,1.2789e-20,0.1002
0.78286,-0.22817,0.005,-0.032945,-0.032261,3.9789e-19,-0.25784
18.46,2.2212,0.005,1.0214,-0.0073841,2.5948e-21,-8.5864e-05
-0.61449,-4.374,0.005,1.0488,-0.052657,1.5487e-19,0.0045149
-1.054,-2.2373,0.005,1.0211,-0.12284,-4.6265e-19,0.032513
9.6552,-0.89781,0.005,0.74612,0.023691,-2.98e-20,-0.0043172
16.693,-3.4819,0.005,1.0571,0.0061748,-4.0785e-21,-0.0012228
-0.8021,-0.096092,0.005,0.44383,-0.10409,5.3021e-19,0.45787
8.7655,2.3998,0.005,1.0644,-0.019305,1.4258e-19,-0.011264
9.7637,0.73842,0.005,0.67878,-0.021104,5.9765e-20,-0.0043051
4.0983,-1.0125,0.005,0.78656,0.053893,-6.4809e-19,-0.068545
16.516,-2.5481,0.005,1.0449,0.00743,-1.588e-20,-0.00074598
0.08418,-0.76435,0.005,0.98184,-0.18667,-1.1598e-20,-0.33002
-0.23858,-0.67364,0.005,1.0085,-0.44084,2.887e-20,-0.24674
5.0784,-2.04,0.005,1.0912,0.02836,5.4128e-19,-0.042971
-4.0455,0.98853,0.005,0.97019,0.018418,-1.8679e-18,0.092156
-3.4839,2.0081,0.005,0.97874,0.039768,9.4339e-19,0.081709
-3.7324,-0.051485,0.005,0.95792,-0.0012513,-1.0627e-18,0.10458
18.783,-2.5711,0.005,1.041,0.0064845,2.7567e-22,-0.00018171
17.549,-2.0601,0.005,1.0091,0.0082541,6.3516e-22,-0.00017113
7.9657,-1.2652,0.005,0.89605,0.031028,-1.4721e-19,-0.010765
-0.76819,0.28552,0.005,0.53365,0.28785,-5.4826e-19,0.37785
-0.043251,4.1024,0.005,1.0626,0.056361,2.6044e-20,-0.0093159
1.2284,3.4028,0.005,1.1007,0.050666,-7.7114e-19,-0.04811
3.3655,0.84098,0.005,0.63667,-0.055549,-7.9056e-19,-0.096965
18.693,0.29951,0.005,0.70032,-0.0035966,-3.1081e-21,0.00037091
12.412,1.3176,0.005,0.89582,-0.016727,-4.8709e-22,-0.001409
5.0672,-4.6653,0.005,1.081,0.004277,6.6837e-19,-0.028868
-2.0279,2.464,0.005,0.99533,0.080035,-9.2297e-20,0.06211
7.6256,1.0687,0.005,0.81242,-0.033462,8.0754e-20,-0.012839
11.055,-1.132,0.005,0.84051,0.020132,7.7741e-21,-0.0025028
1.3015,-0.88704,0.005,0.78184,0.00051452,7.1505e-19,-0.21183
2.0765,-1.2143,0.005,1.0395,0.01074,-1.5061e-18,-0.15221
-2.8233,1.1093,0.005,0.94715,0.04471,2.1282e-18,0.11329
4.6113,2.2604,0.005,1.1038,-0.022596,-5.8621e-20,-0.049701
8.4978,-4.0622,0.005,1.0693,0.013077,4.2372e-20,-0.01473
7.2566,-3.0884,0.005,1.0768,0.01816,4.7898e-19,-0.020189
6.0961,-3.2114,0.005,1.0842,0.01685,-1.6916e-20,-0.028394
8.1557,-2.8748,0.005,1.0719,0.018217,6.534e-22,-0.014958
-4.889,-2.7883,0.005,0.99358,-0.022737,-6.6052e-18,0.065865
0.85727,-1.936,0.005,1.1571,-0.098089,-2.5088e-18,-0.1121
2.9307,-7.0791,0.005,1.062,-0.0073561,-1.2334e-18,-0.014918
3.0734,1.9214,0.005,1.1355,-0.0098564,8.6864e-19,-0.088087
0.095858,0.75543,0.005,0.9499,0.16968,4.3474e-19,-0.33632
13.061,2.6615,0.005,1.0557,-0.010418,-2.7865e-20,-0.0029436
13.938,-1.4079,0.005,0.91527,0.013941,4.9845e-21,-0.00070849
6.1069,-0.12918,0.005,0.31749,0.0087876,-3.6532e-19,-0.024152
2.4911,-3.1334,0.005,1.1152,-0.020447,1.3359e-19,-0.062257
3.9773,-3.7834,0.005,1.0954,0.00032786,1.0618e-18,-0.041958
4.1247,-3.0316,0.005,1.104,0.008063,1.266e-18,-0.049368
