
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
5.34941006e+00, -5.00000000e+00, 4.99999970e-02, -3.39606106e-02, 1.00000000e+00, 0.00000000e+00, 5.34941006e+00, -5.00000000e+00
5.22084808e+00, -4.78409624e+00, 4.99999970e-02, -3.50956507e-02, 1.04311621e+00, 1.61333277e-03, 5.22084808e+00, -4.78409624e+00
5.15038443e+00, -5.00000000e+00, 4.99999970e-02, -3.56619060e-02, 1.00000000e+00, 0.00000000e+00, 5.15038443e+00, -5.00000000e+00
5.05839348e+00, -4.85408974e+00, 4.99999970e-02, -3.64451408e-02, 1.02911282e+00, 9.04485758e-04, 5.05839348e+00, -4.85408974e+00
4.95135927e+00, -5.00000000e+00, 4.99999970e-02, -3.72665823e-02, 1.00000000e+00, 0.00000000e+00, 4.95135927e+00, -5.00000000e+00
4.89089060e+00, -4.82720089e+00, 4.99999970e-02, -3.75844687e-02, 1.03674507e+00, 1.27240364e-03, 4.89089060e+00, -4.82720089e+00
4.75233364e+00, -5.00000000e+00, 4.99999970e-02, -3.85059342e-02, 1.00000000e+00, 0.00000000e+00, 4.75233364e+00, -5.00000000e+00
4.69729376e+00, -4.79254055e+00, 4.99999970e-02, -3.89807075e-02, 1.04605222e+00, 1.66262023e-03, 4.69729376e+00, -4.79254055e+00
4.55330801e+00, -5.00000000e+00, 4.99999970e-02, -4.01693135e-02, 1.00000000e+00, 0.00000000e+00, 4.55330801e+00, -5.00000000e+00
4.38110495e+00, -4.83995390e+00, 4.99999970e-02, -4.13443632e-02, 1.03780591e+00, 1.06091134e-03, 4.38110495e+00, -4.83995390e+00
4.35428286e+00, -5.00000000e+00, 4.99999970e-02, -4.16514240e-02, 1.00000000e+00, 0.00000000e+00, 4.35428286e+00, -5.00000000e+00
4.22189856e+00, -4.84030294e+00, 4.99999970e-02, -4.21244428e-02, 1.03907919e+00, 1.18433882e-03, 4.22189856e+00, -4.84030294e+00
4.15525723e+00, -5.00000000e+00, 4.99999970e-02, -4.23851386e-02, 1.00000000e+00, 0.00000000e+00, 4.15525723e+00, -5.00000000e+00
4.06028509e+00, -4.87411356e+00, 4.99999970e-02, -4.28156741e-02, 1.03503156e+00, 1.05759234e-03, 4.06028509e+00, -4.87411356e+00
3.95623183e+00, -5.00000000e+00, 4.99999970e-02, -4.31140773e-02, 1.00000000e+00, 0.00000000e+00, 3.95623183e+00, -5.00000000e+00
3.88783503e+00, -4.78074074e+00, 4.99999970e-02, -4.34224308e-02, 1.05538630e+00, 1.88567501e-03, 3.88783503e+00, -4.78074074e+00
3.75720620e+00, -5.00000000e+00, 4.99999970e-02, -4.38056067e-02, 1.00000000e+00, 0.00000000e+00, 3.75720620e+00, -5.00000000e+00
3.67005396e+00, -4.79494905e+00, 4.99999970e-02, -4.40933332e-02, 1.05539644e+00, 1.73601659e-03, 3.67005396e+00, -4.79494905e+00
3.55818081e+00, -5.00000000e+00, 4.99999970e-02, -4.42582816e-02, 1.00000000e+00, 0.00000000e+00, 3.55818081e+00, -5.00000000e+00
3.45442247e+00, -4.78373718e+00, 4.99999970e-02, -4.44272757e-02, 1.05914247e+00, 1.72689918e-03, 3.45442247e+00, -4.78373718e+00
3.35915542e+00, -5.00000000e+00, 4.99999970e-02, -4.42388505e-02, 1.00000000e+00, 0.00000000e+00, 3.35915542e+00, -5.00000000e+00
-4.81437969e+00, -4.83388615e+00, 4.99999970e-02, 1.14976324e-01, 1.00010979e+00, -1.33772250e-04, -4.81437969e+00, -4.83388615e+00
-5.00000000e+00, -5.00000000e+00, 4.99999970e-02, 1.14985183e-01, 1.00000000e+00, 0.00000000e+00, -5.00000000e+00, -5.00000000e+00
-4.80088902e+00, -5.00000000e+00, 4.99999970e-02, 1.14910051e-01, 1.00000000e+00, 0.00000000e+00, -4.80088902e+00, -5.00000000e+00
3.25186658e+00, -4.76740170e+00, 4.99999970e-02, -4.45547178e-02, 1.06535208e+00, 1.74439733e-03, 3.25186658e+00, -4.76740170e+00
3.16012979e+00, -5.00000000e+00, 4.99999970e-02, -4.44037877e-02, 1.00000000e+00, 0.00000000e+00, 3.16012979e+00, -5.00000000e+00
3.11716628e+00, -4.80585051e+00, 4.99999970e-02, -4.42341752e-02, 1.05125356e+00, 1.14112755e-03, 3.11716628e+00, -4.80585051e+00
2.96110439e+00, -5.00000000e+00, 4.99999970e-02, -4.38224971e-02, 1.00000000e+00, 0.00000000e+00, 2.96110439e+00, -5.00000000e+00
2.83102274e+00, -4.78656816e+00, 4.99999970e-02, -4.35359776e-02, 1.06336665e+00, 1.40982959e-03, 2.83102274e+00, -4.78656816e+00
2.76207900e+00, -5.00000000e+00, 4.99999970e-02, -4.25801836e-02, 1.00000000e+00, 0.00000000e+00, 2.76207900e+00, -5.00000000e+00
2.66890407e+00, -4.80068731e+00, 4.99999970e-02, -4.24981602e-02, 1.06245935e+00, 1.24267139e-03, 2.66890407e+00, -4.80068731e+00
2.56305337e+00, -5.00000000e+00, 4.99999970e-02, -4.15521339e-02, 1.00000000e+00, 0.00000000e+00, 2.56305337e+00, -5.00000000e+00
2.48601270e+00, -4.81793547e+00, 4.99999970e-02, -4.10761870e-02, 1.06056321e+00, 9.89944092e-04, 2.48601270e+00, -4.81793547e+00
2.36402798e+00, -5.00000000e+00, 4.99999970e-02, -3.99062037e-02, 1.00000000e+00, 0.00000000e+00, 2.36402798e+00, -5.00000000e+00
2.29452586e+00, -4.82683372e+00, 4.99999970e-02, -3.92060950e-02, 1.06003702e+00, 8.10570084e-04, 2.29452586e+00, -4.82683372e+00
2.16500258e+00, -5.00000000e+00, 4.99999970e-02, -3.76889408e-02, 1.00000000e+00, 0.00000000e+00, 2.16500258e+00, -5.00000000e+00
2.09252262e+00, -4.82536697e+00, 4.99999970e-02, -3.67212556e-02, 1.06155765e+00, 6.53054856e-04, 2.09252262e+00, -4.82536697e+00
1.96597707e+00, -5.00000000e+00, 4.99999970e-02, -3.49929631e-02, 1.00000000e+00, 0.00000000e+00, 1.96597707e+00, -5.00000000e+00
1.88202775e+00, -4.80657530e+00, 4.99999970e-02, -3.36922966e-02, 1.06300628e+00, 5.73988014e-04, 1.88202775e+00, -4.80657530e+00
1.76695156e+00, -5.00000000e+00, 4.99999970e-02, -3.17298509e-02, 1.00000000e+00, 0.00000000e+00, 1.76695156e+00, -5.00000000e+00
1.67472076e+00, -4.83088636e+00, 4.99999970e-02, -3.01566031e-02, 1.06047261e+00, 3.75374948e-04, 1.67472076e+00, -4.83088636e+00
1.56792617e+00, -5.00000000e+00, 4.99999970e-02, -2.79916301e-02, 1.00000000e+00, 0.00000000e+00, 1.56792617e+00, -5.00000000e+00
1.47371638e+00, -4.83129597e+00, 4.99999970e-02, -2.62927786e-02, 1.06093073e+00, 8.14334999e-05, 1.47371638e+00, -4.83129597e+00
1.36890066e+00, -5.00000000e+00, 4.99999970e-02, -2.37035211e-02, 1.00000000e+00, 0.00000000e+00, 1.36890066e+00, -5.00000000e+00
1.26283741e+00, -4.80657530e+00, 4.99999970e-02, -2.10971627e-02, 1.06203318e+00, -2.30690857e-04, 1.26283741e+00, -4.80657530e+00
1.16987526e+00, -5.00000000e+00, 4.99999970e-02, -1.86988711e-02, 1.00000000e+00, 0.00000000e+00, 1.16987526e+00, -5.00000000e+00
1.07416701e+00, -4.83670330e+00, 4.99999970e-02, -1.65354311e-02, 1.05388546e+00, -2.29138575e-04, 1.07416701e+00, -4.83670330e+00
9.70849752e-01, -5.00000000e+00, 4.99999970e-02, -1.37152392e-02, 1.00000000e+00, 0.00000000e+00, 9.70849752e-01, -5.00000000e+00
8.86900425e-01, -4.80657530e+00, 4.99999970e-02, -1.20628122e-02, 1.06070840e+00, -8.27374926e-04, 8.86900425e-01, -4.80657530e+00
7.71824300e-01, -5.00000000e+00, 4.99999970e-02, -8.60423408e-03, 1.00000000e+00, 0.00000000e+00, 7.71824300e-01, -5.00000000e+00
6.87874973e-01, -4.80657530e+00, 4.99999970e-02, -6.19622087e-03, 1.06045711e+00, -1.19705673e-03, 6.87874973e-01, -4.80657530e+00
5.72798789e-01, -5.00000000e+00, 4.99999970e-02, -2.71554943e-03, 1.00000000e+00, 0.00000000e+00, 5.72798789e-01, -5.00000000e+00
4.77462381e-01, -4.79604340e+00, 4.99999970e-02, 4.84848511e-04, 1.06072640e+00, -1.50462415e-03, 4.77462381e-01, -4.79604340e+00
3.73773336e-01, -5.00000000e+00, 4.99999970e-02, 3.51410150e-03, 1.00000000e+00, 0.00000000e+00, 3.73773336e-01, -5.00000000e+00
2.85940617e-01, -4.85917997e+00, 4.99999970e-02, 6.44833688e-03, 1.04618371e+00, -8.96199315e-04, 2.85940617e-01, -4.85917997e+00
1.74747869e-01, -5.00000000e+00, 4.99999970e-02, 1.00585613e-02, 1.00000000e+00, 0.00000000e+00, 1.74747869e-01, -5.00000000e+00
6.38116896e-02, -4.80657959e+00, 4.99999970e-02, 1.38763459e-02, 1.05585027e+00, -1.86058343e-03, 6.38116896e-02, -4.80657959e+00
-2.42775995e-02, -5.00000000e+00, 4.99999970e-02, 1.71831045e-02, 1.00000000e+00, 0.00000000e+00, -2.42775995e-02, -5.00000000e+00
-1.29800469e-01, -4.86997128e+00, 4.99999970e-02, 2.10076142e-02, 1.04013991e+00, -9.16259538e-04, -1.29800469e-01, -4.86997128e+00
-2.23303065e-01, -5.00000000e+00, 4.99999970e-02, 2.39483658e-02, 1.00000000e+00, 0.00000000e+00, -2.23303065e-01, -5.00000000e+00
-3.28079671e-01, -4.83739281e+00, 4.99999970e-02, 2.67880857e-02, 1.04383969e+00, -1.53698644e-03, -3.28079671e-01, -4.83739281e+00
